Configuration,Phase,Epoch,Loss,Accuracy
64x3_5e-3,train,1,0.535900485974771,0.8004629629629629
64x3_5e-3,val,1,0.44068841711680096,0.839
64x3_5e-3,train,2,0.40163687710408813,0.8529814814814815
64x3_5e-3,val,2,0.582124253431956,0.782
64x3_5e-3,train,3,0.3738662769706161,0.8666296296296296
64x3_5e-3,val,3,0.3769529871145884,0.868
64x3_5e-3,train,4,0.3537283357249366,0.8752037037037037
64x3_5e-3,val,4,0.3495560797850291,0.875
64x3_5e-3,train,5,0.34867730608692876,0.8748518518518519
64x3_5e-3,val,5,0.38658173608779905,0.8785
64x3_5e-3,train,6,0.3380177590052287,0.8791666666666667
64x3_5e-3,val,6,0.4484609880447388,0.8396666666666667
64x3_5e-3,train,7,0.33010415856043496,0.8841296296296296
64x3_5e-3,val,7,0.39861214383443194,0.856
64x3_5e-3,train,8,0.32745572000079687,0.8851296296296296
64x3_5e-3,val,8,0.4043592907587687,0.8645
64x3_5e-3,train,9,0.31835598142941796,0.8856296296296297
64x3_5e-3,val,9,0.43018387349446613,0.8496666666666667
64x3_5e-3,train,10,0.3119811469713847,0.8903703703703704
64x3_5e-3,val,10,0.31864761328697205,0.8946666666666667
64x3_5e-3,train,11,0.2726602882323442,0.9043703703703704
64x3_5e-3,val,11,0.2634672144254049,0.9063333333333333
64x3_5e-3,train,12,0.26855021909431176,0.9057592592592593
64x3_5e-3,val,12,0.2996639400323232,0.9018333333333334
64x3_5e-3,train,13,0.2638120867234689,0.9077222222222222
64x3_5e-3,val,13,0.29748970007896425,0.894
64x3_5e-3,train,14,0.261781815873252,0.9087777777777778
64x3_5e-3,val,14,0.26949574971199036,0.9033333333333333
64x3_5e-3,train,15,0.25874033264760615,0.9092222222222223
64x3_5e-3,val,15,0.27250757257143654,0.9053333333333333
64x3_5e-3,train,16,0.25578016369431106,0.9107962962962963
64x3_5e-3,val,16,0.2675005760192871,0.9056666666666666
64x3_5e-3,train,17,0.2527299215617003,0.9110185185185186
64x3_5e-3,val,17,0.31934840242067974,0.8843333333333333
64x3_5e-3,train,18,0.25136201369762423,0.9109074074074074
64x3_5e-3,val,18,0.29116247073809304,0.897
64x3_5e-3,train,19,0.2516321342212183,0.9133518518518519
64x3_5e-3,val,19,0.2472955994606018,0.9125
64x3_5e-3,train,20,0.24827939678121497,0.9126111111111112
64x3_5e-3,val,20,0.27077601647377014,0.9011666666666667
64x3_5e-3,train,21,0.22668054011574498,0.920962962962963
64x3_5e-3,val,21,0.21972080377737682,0.923
64x3_5e-3,train,22,0.2181470505396525,0.9242962962962963
64x3_5e-3,val,22,0.23353148857752482,0.9205
64x3_5e-3,train,23,0.21698519223707693,0.925037037037037
64x3_5e-3,val,23,0.2285390181541443,0.915
64x3_5e-3,train,24,0.2154451520619569,0.9245185185185185
64x3_5e-3,val,24,0.21797865986824036,0.9188333333333333
64x3_5e-3,train,25,0.21492932693163555,0.925037037037037
64x3_5e-3,val,25,0.22796652189890543,0.9185
64x3_5e-3,train,26,0.21203308622042338,0.9276296296296296
64x3_5e-3,val,26,0.2185730254650116,0.9203333333333333
64x3_5e-3,train,27,0.21106057687158938,0.9274629629629629
64x3_5e-3,val,27,0.22531848367055257,0.922
64x3_5e-3,train,28,0.21134022545373,0.9273518518518519
64x3_5e-3,val,28,0.21018762040138245,0.9265
64x3_5e-3,train,29,0.20919295498176857,0.9273518518518519
64x3_5e-3,val,29,0.2160471136569977,0.9258333333333333
64x3_5e-3,train,30,0.20882980653974745,0.9278888888888889
64x3_5e-3,val,30,0.25198304231961566,0.9135
64x3_5e-3,train,31,0.19025593366887833,0.9353333333333333
64x3_5e-3,val,31,0.20097917131582896,0.9295
64x3_5e-3,train,32,0.18799064810629243,0.9349444444444445
64x3_5e-3,val,32,0.20173624642690022,0.929
64x3_5e-3,train,33,0.18562014857486442,0.9357037037037037
64x3_5e-3,val,33,0.2044767255783081,0.9258333333333333
64x3_5e-3,train,34,0.18249448471599156,0.9380185185185185
64x3_5e-3,val,34,0.207006959994634,0.9261666666666667
64x3_5e-3,train,35,0.18253961603729812,0.9382222222222222
64x3_5e-3,val,35,0.20775598073005677,0.9265
64x3_5e-3,train,36,0.18164766811441493,0.9380555555555555
64x3_5e-3,val,36,0.20574963812033337,0.9296666666666666
64x3_5e-3,train,37,0.1816358028076313,0.9382407407407407
64x3_5e-3,val,37,0.19064783120155335,0.9351666666666667
64x3_5e-3,train,38,0.17830729439523485,0.9392962962962963
64x3_5e-3,val,38,0.20384565726915996,0.9263333333333333
64x3_5e-3,train,39,0.17672841050006724,0.9401111111111111
64x3_5e-3,val,39,0.19680530540148417,0.931
64x3_5e-3,train,40,0.1780196020161664,0.9402037037037037
64x3_5e-3,val,40,0.20582305471102397,0.9255
64x3_5e-3,train,41,0.16580646263670037,0.9434259259259259
64x3_5e-3,val,41,0.1897821563879649,0.933
64x3_5e-3,train,42,0.164066781145555,0.9441111111111111
64x3_5e-3,val,42,0.18918925527731578,0.9336666666666666
64x3_5e-3,train,43,0.16147439738997707,0.9453703703703704
64x3_5e-3,val,43,0.19190884002049763,0.9333333333333333
64x3_5e-3,train,44,0.16028886065218184,0.9461481481481482
64x3_5e-3,val,44,0.18783822039763132,0.9326666666666666
64x3_5e-3,train,45,0.16182363343459588,0.9462037037037037
64x3_5e-3,val,45,0.18450324336687723,0.9353333333333333
64x3_5e-3,train,46,0.16024618960751427,0.9458888888888889
64x3_5e-3,val,46,0.19012611734867096,0.934
64x3_5e-3,train,47,0.15878262419612318,0.9462777777777778
64x3_5e-3,val,47,0.18958676425615947,0.932
64x3_5e-3,train,48,0.15700951898539509,0.9470925925925926
