Configuration,Phase,Epoch,Loss,Accuracy
32x2_0.001,train,1,0.6492632724179161,0.7740925925925926
32x2_0.001,val,1,0.4669097844759623,0.8303333333333334
32x2_0.001,train,2,0.3873985815445582,0.862
32x2_0.001,val,2,0.39166545192400615,0.8576666666666667
32x2_0.001,train,3,0.32575893181341664,0.8840555555555556
32x2_0.001,val,3,0.3590590678056081,0.8668333333333333
32x2_0.001,train,4,0.28957556636245163,0.8974814814814814
32x2_0.001,val,4,0.3026243449052175,0.8936666666666667
32x2_0.001,train,5,0.2669869234473617,0.9049444444444444
32x2_0.001,val,5,0.308834414323171,0.8935
32x2_0.001,train,6,0.24958039251080266,0.9112222222222223
32x2_0.001,val,6,0.46686928447087606,0.8396666666666667
32x2_0.001,train,7,0.23525141808721756,0.9163703703703704
32x2_0.001,val,7,0.34339461612701416,0.8765
32x2_0.001,train,8,0.20596144088109333,0.9265740740740741
32x2_0.001,val,8,0.25708078845342003,0.9096666666666666
32x2_0.001,train,9,0.1970547743814963,0.9300185185185185
32x2_0.001,val,9,0.2753990109761556,0.906
32x2_0.001,train,10,0.19071652636704622,0.9327962962962963
32x2_0.001,val,10,0.25692272345225015,0.9091666666666667
32x2_0.001,train,11,0.1838550802204344,0.9352592592592592
32x2_0.001,val,11,0.3296848846276601,0.8931666666666667
32x2_0.001,train,12,0.17787886145821324,0.9356666666666666
32x2_0.001,val,12,0.26673431690533955,0.9073333333333333
32x2_0.001,train,13,0.17384925476268487,0.9372962962962963
32x2_0.001,val,13,0.25575849652290344,0.9143333333333333
32x2_0.001,train,14,0.16700453583399455,0.9410925925925926
32x2_0.001,val,14,0.2572385788758596,0.9125
32x2_0.001,train,15,0.14996979445881314,0.9467222222222222
32x2_0.001,val,15,0.263926514228185,0.909
32x2_0.001,train,16,0.14307143597691147,0.9508148148148148
32x2_0.001,val,16,0.24585373147328696,0.912
32x2_0.001,train,17,0.14138515362474655,0.9502222222222222
32x2_0.001,val,17,0.2929202215671539,0.908
32x2_0.001,train,18,0.13931595976705904,0.9516481481481481
32x2_0.001,val,18,0.2658091952800751,0.9098333333333334
32x2_0.001,train,19,0.13447904113707718,0.953
32x2_0.001,val,19,0.2573692869345347,0.9116666666666666
32x2_0.001,train,20,0.12988075625013423,0.954
32x2_0.001,val,20,0.24520350893338522,0.9191666666666667
16x3_0.001,train,1,0.5272707025916488,0.8105185185185185
16x3_0.001,val,1,0.3711708014011383,0.869
16x3_0.001,train,2,0.31882001699341667,0.8848518518518519
16x3_0.001,val,2,0.46019058338801067,0.848
16x3_0.001,train,3,0.2704431044967086,0.9013148148148148
16x3_0.001,val,3,0.2936434063911438,0.8975
16x3_0.001,train,4,0.24226778577875208,0.9120925925925926
16x3_0.001,val,4,0.26801053690910337,0.9081666666666667
16x3_0.001,train,5,0.22062371667226155,0.919537037037037
16x3_0.001,val,5,0.2799138219356537,0.9003333333333333
16x3_0.001,train,6,0.20654989567067888,0.9232777777777778
16x3_0.001,val,6,0.2793885093530019,0.9058333333333334
16x3_0.001,train,7,0.19336009987195332,0.930074074074074
16x3_0.001,val,7,0.25840316200256347,0.9088333333333334
16x3_0.001,train,8,0.1553800121612019,0.9437407407407408
16x3_0.001,val,8,0.2345396120150884,0.9185
16x3_0.001,train,9,0.14437139175335567,0.9478148148148148
16x3_0.001,val,9,0.2408395873705546,0.9148333333333334
16x3_0.001,train,10,0.13473674072932315,0.951462962962963
16x3_0.001,val,10,0.2647057370344798,0.9126666666666666
16x3_0.001,train,11,0.12707866037719778,0.9541481481481482
16x3_0.001,val,11,0.24850984660784403,0.9193333333333333
16x3_0.001,train,12,0.1201412415239546,0.9563703703703703
16x3_0.001,val,12,0.2573715264002482,0.9201666666666667
16x3_0.001,train,13,0.10992132771677442,0.9606111111111111
16x3_0.001,val,13,0.2618045550187429,0.9165
16x3_0.001,train,14,0.1030554425517718,0.9624259259259259
16x3_0.001,val,14,0.2633502162694931,0.9165
16x3_0.001,train,15,0.07856116127691887,0.9722407407407407
16x3_0.001,val,15,0.26462409830093386,0.9186666666666666
16x3_0.001,train,16,0.07025200497000306,0.9759629629629629
16x3_0.001,val,16,0.2731579841375351,0.9186666666666666
16x3_0.001,train,17,0.06473292014775453,0.9783703703703703
16x3_0.001,val,17,0.2972553932666779,0.9161666666666667
16x3_0.001,train,18,0.061257675997636936,0.9791851851851852
16x3_0.001,val,18,0.2905855726401011,0.9138333333333334
16x3_0.001,train,19,0.056702289675120955,0.9806851851851852
16x3_0.001,val,19,0.3021308494408925,0.9158333333333334
16x3_0.001,train,20,0.05183614528510306,0.9825
16x3_0.001,val,20,0.3064844455718994,0.9145
